STORE,STATE,STORE_TYPE,AREA,COUNTRY,AVERAGE_BASKET_SIZE,NO_OF_TRANSACTIONS,AVG_BASKET_DOLLARS,TOTAL_SALES_UNITS,TOTAL_SALES_DOLLARS,Cluster
1138,VIC,KMART,Outer Metro,AUSTRALIA,4.570295,645120,35.4916328,3003897,22896362.15,1
1151,S.A,KMART,Middle Metro,AUSTRALIA,4.134071,1162795,31.23119623,5044782,36315478.82,3
1158,W.A,KMART,Middle Metro,AUSTRALIA,4.311599,1199571,34.80541624,5301759,41751567.97,1
1239,QLD,KMART,Outer Regional,AUSTRALIA,5.410235,674407,45.30581133,3770786,30554556.3,0
1029,QLD,KMART,Satellite City/Regional City,AUSTRALIA,5.789802,751969,45.78325885,4388962,34427591.37,2
1293,VIC,K-HUB,Inner Regional,AUSTRALIA,4.193026,145182,32.46582939,543284,4713454.04,1
1380,NSW,KMART,Outer Metro,AUSTRALIA,4.702215,1115420,36.92969797,5331822,41192123.71,3
1040,TAS,KMART,Inner Regional,AUSTRALIA,4.972303,753282,39.74968651,3783022,29942723.35,1
3347,QLD,K-HUB,Outer Regional,AUSTRALIA,3.407277,173021,24.92814283,539582,4313092.2,0
1363,QLD,KMART,Middle Metro,AUSTRALIA,4.764551,669547,35.60894493,3190593,23841862.25,3
3319,QLD,K-HUB,Outer Regional,AUSTRALIA,4.67787,107399,39.19221658,451299,4209204.87,0
3360,S.A,K-HUB,Outer Regional,AUSTRALIA,5.586006,258022,42.41542061,1308664,10944111.66,0
1186,QLD,KMART,Outer Metro,AUSTRALIA,5.361013,1170861,42.55671609,6383194,49827999.15,3
1370,VIC,KMART,Outer Metro,AUSTRALIA,4.722679,842311,35.21621948,3848543,29663009.05,1
1161,VIC,KMART,Middle Metro,AUSTRALIA,4.513634,951481,34.03228399,4459696,32381071.6,1
1057,W.A,KMART,Outer Metro,AUSTRALIA,5.238242,809969,42.03217999,4397635,34044762.8,1
1133,QLD,KMART,Satellite City/Regional City,AUSTRALIA,5.182303,1030554,41.03701195,5543700,42290856.81,2
